v8-version,6,8,275,32,-node.12,0
shared-library,/home/mauricio/.nvm/versions/node/v10.15.1/bin/node,0x400000,0x228f000,0
shared-library,/lib/x86_64-linux-gnu/libc-2.27.so,0x7fa891660000,0x7fa891847000,0
shared-library,/lib/x86_64-linux-gnu/libpthread-2.27.so,0x7fa891a51000,0x7fa891a6b000,0
shared-library,/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7fa891c70000,0x7fa891c87000,0
shared-library,/lib/x86_64-linux-gnu/libm-2.27.so,0x7fa891e88000,0x7fa892025000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.25,0x7fa892226000,0x7fa89239f000,0
shared-library,/lib/x86_64-linux-gnu/librt-2.27.so,0x7fa8925af000,0x7fa8925b6000,0
shared-library,/lib/x86_64-linux-gnu/libdl-2.27.so,0x7fa8927b7000,0x7fa8927ba000,0
shared-library,/lib/x86_64-linux-gnu/ld-2.27.so,0x7fa8929bb000,0x7fa8929e2000,0
shared-library,[vdso],0x7ffd8f73f000,0x7ffd8f740000,0
shared-library,[vsyscall],0xffffffffff600000,0xffffffffff601000,0
profiler,begin,1000
tick,0x7fa891a60048,618,0,0x0,6
tick,0xed2a3e,1443,0,0x0,6
code-creation,Builtin,3,1935,0x32ce62689e80,1396,RecordWrite
code-creation,Builtin,3,1949,0x32ce6268a440,32,AdaptorWithExitFrame
code-creation,Builtin,3,1952,0x32ce6268a4a0,32,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,1955,0x32ce6268a500,243,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,1959,0x32ce6268a640,205,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1962,0x32ce6268a760,274,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1966,0x32ce6268a8c0,299,CallFunction_ReceiverIsAny
code-creation,Builtin,3,1969,0x32ce6268aa40,139,CallBoundFunction
code-creation,Builtin,3,1972,0x32ce6268ab20,120,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1976,0x32ce6268abe0,120,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1979,0x32ce6268aca0,120,Call_ReceiverIsAny
code-creation,Builtin,3,1982,0x32ce6268ad60,1008,CallProxy
code-creation,Builtin,3,1985,0x32ce6268b1a0,81,CallVarargs
code-creation,Builtin,3,1988,0x32ce6268b240,1380,CallWithSpread
code-creation,Builtin,3,1993,0x32ce6268b800,1360,CallWithArrayLike
code-creation,Builtin,3,1996,0x32ce6268bda0,102,CallForwardVarargs
code-creation,Builtin,3,1999,0x32ce6268be60,102,CallFunctionForwardVarargs
code-creation,Builtin,3,2002,0x32ce6268bf20,26,ConstructFunction
code-creation,Builtin,3,2005,0x32ce6268bf80,139,ConstructBoundFunction
code-creation,Builtin,3,2008,0x32ce6268c060,43,ConstructedNonConstructable
code-creation,Builtin,3,2011,0x32ce6268c0e0,86,Construct
code-creation,Builtin,3,2013,0x32ce6268c180,81,ConstructVarargs
code-creation,Builtin,3,2016,0x32ce6268c220,1396,ConstructWithSpread
code-creation,Builtin,3,2020,0x32ce6268c7e0,1432,ConstructWithArrayLike
code-creation,Builtin,3,2023,0x32ce6268cdc0,156,ConstructForwardVarargs
code-creation,Builtin,3,2026,0x32ce6268cea0,156,ConstructFunctionForwardVarargs
code-creation,Builtin,3,2029,0x32ce6268cf80,250,JSConstructStubGeneric
code-creation,Builtin,3,2032,0x32ce6268d0c0,169,JSBuiltinsConstructStub
code-creation,Builtin,3,2035,0x32ce6268d1c0,721,FastNewObject
